Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9921686,MALARIA_EST_INCIDENCE,COUNTRY,PNG,WPR,Western Pacific,YEAR,2016,,,,,,,,,134.90 [90.44-185.25],134.9033896,90.44059581,185.2512275,,2025-12-19T14:24:05Z,2016,01/01/2016,31/12/2016,,
9927206,MALARIA_EST_INCIDENCE,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2008,01/01/2008,31/12/2008,,
9929036,MALARIA_EST_INCIDENCE,REGION,EMR,,,YEAR,2016,,,,,,,,,10.66 [9.08-12.77],10.6583577,9.084766968,12.76813477,,2025-12-19T14:24:05Z,2016,01/01/2016,31/12/2016,,
9951013,MALARIA_EST_INCIDENCE,COUNTRY,BDI,AFR,Africa,YEAR,2007,,,,,,,,,287.94 [205.31-392.90],287.9413478,205.3111118,392.8954858,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9959578,MALARIA_EST_INCIDENCE,COUNTRY,CPV,AFR,Africa,YEAR,2005,,,,,,,,,0.54 [0.54-0.54],0.539126298,0.539126298,0.539126298,,2025-12-19T14:24:05Z,2005,01/01/2005,31/12/2005,,
9959654,MALARIA_EST_INCIDENCE,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2000,,,,,,,,,47.33 [47.33-47.33],47.33377774,47.33377774,47.33377774,,2025-12-19T14:24:05Z,2000,01/01/2000,31/12/2000,,
9960448,MALARIA_EST_INCIDENCE,COUNTRY,ZAF,AFR,Africa,YEAR,2001,,,,,,,,,5.57 [5.57-5.57],5.572374009,5.572374009,5.572374009,,2025-12-19T14:24:05Z,2001,01/01/2001,31/12/2001,,
9960534,MALARIA_EST_INCIDENCE,COUNTRY,ERI,AFR,Africa,YEAR,2007,,,,,,,,,13.69 [8.81-19.16],13.69484497,8.805940606,19.16332327,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9966833,MALARIA_EST_INCIDENCE,COUNTRY,DOM,AMR,Americas,YEAR,2002,,,,,,,,,0.35 [0.28-0.41],0.34557099,0.279943265,0.413254709,,2025-12-19T14:24:05Z,2002,01/01/2002,31/12/2002,,
9972550,MALARIA_EST_INCIDENCE,COUNTRY,TZA,AFR,Africa,YEAR,2010,,,,,,,,,145.56 [107.54-192.99],145.5640581,107.53831,192.9914655,,2025-12-19T14:24:05Z,2010,01/01/2010,31/12/2010,,
9979206,MALARIA_EST_INCIDENCE,COUNTRY,BEN,AFR,Africa,YEAR,2007,,,,,,,,,496.75 [394.80-615.28],496.751999,394.7956124,615.2760664,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9988840,MALARIA_EST_INCIDENCE,COUNTRY,MWI,AFR,Africa,YEAR,2006,,,,,,,,,359.15 [285.10-446.44],359.1515831,285.0995477,446.444826,,2025-12-19T14:24:05Z,2006,01/01/2006,31/12/2006,,
9992257,MALARIA_EST_INCIDENCE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,42.07 [21.63-98.35],42.06641425,21.6330225,98.35052868,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
10015302,MALARIA_EST_INCIDENCE,COUNTRY,RWA,AFR,Africa,YEAR,2021,,,,,,,,,118.74 [92.22-146.43],118.7353148,92.22065126,146.4344517,,2025-12-19T14:24:05Z,2021,01/01/2021,31/12/2021,,
10020615,MALARIA_EST_INCIDENCE,COUNTRY,GUF,AMR,Americas,YEAR,2009,,,,,,,,,31.74 [28.29-37.03],31.73695385,28.28983963,37.0333665,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
