Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
945298,MALARIA_IRS_COVERAGE,COUNTRY,MYS,WPR,Western Pacific,YEAR,2022,,,,,,,,,171 867,171867,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
7585456,MALARIA_IRS_COVERAGE,COUNTRY,BWA,AFR,Africa,YEAR,2023,,,,,,,,,115 923,115923,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
2776707,MALARIA_IRS_COVERAGE,COUNTRY,NAM,AFR,Africa,YEAR,2016,,,,,,,,,485 730,485730,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
3035789,MALARIA_IRS_COVERAGE,COUNTRY,GTM,AMR,Americas,YEAR,2020,,,,,,,,,13 386,13386,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
5421761,MALARIA_IRS_COVERAGE,COUNTRY,VNM,WPR,Western Pacific,YEAR,2020,,,,,,,,,433 405,433405,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
4174046,MALARIA_IRS_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,23 307,23307,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
8041023,MALARIA_IRS_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2020,,,,,,,,,2 510 463,2510463,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
8439600,MALARIA_IRS_COVERAGE,COUNTRY,COD,AFR,Africa,YEAR,2017,,,,,,,,,232 181,232181,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
6991045,MALARIA_IRS_COVERAGE,COUNTRY,GHA,AFR,Africa,YEAR,2024,,,,,,,,,2 553 813,2553813,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
3307481,MALARIA_IRS_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2020,,,,,,,,,793 026,793026,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
501627,MALARIA_IRS_COVERAGE,COUNTRY,MEX,AMR,Americas,YEAR,2018,,,,,,,,,85 812,85812,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
4249940,MALARIA_IRS_COVERAGE,COUNTRY,GMB,AFR,Africa,YEAR,2020,,,,,,,,,477 032,477032,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
2802102,MALARIA_IRS_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2022,,,,,,,,,1 614 938,1614938,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
7705554,MALARIA_IRS_COVERAGE,COUNTRY,PHL,WPR,Western Pacific,YEAR,2024,,,,,,,,,279 117,279117,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
7774571,MALARIA_IRS_COVERAGE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2023,,,,,,,,,8 446 529,8446529,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
8218373,MALARIA_IRS_COVERAGE,COUNTRY,ETH,AFR,Africa,YEAR,2017,,,,,,,,,17 628 133,17628133,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
6731575,MALARIA_IRS_COVERAGE,COUNTRY,NIC,AMR,Americas,YEAR,2021,,,,,,,,,237 663,237663,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
4617983,MALARIA_IRS_COVERAGE,COUNTRY,BLZ,AMR,Americas,YEAR,2022,,,,,,,,,51 702,51702,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
6744342,MALARIA_IRS_COVERAGE,COUNTRY,MDG,AFR,Africa,YEAR,2024,,,,,,,,,608 526,608526,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
3604181,MALARIA_IRS_COVERAGE,COUNTRY,COL,AMR,Americas,YEAR,2018,,,,,,,,,60 000,60000,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
2114521,MALARIA_IRS_COVERAGE,COUNTRY,HND,AMR,Americas,YEAR,2021,,,,,,,,,124 554,124554,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
9442072,MALARIA_IRS_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2015,,,,,,,,,2 013 652,2013652,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
4174190,MALARIA_IRS_COVERAGE,COUNTRY,GUY,AMR,Americas,YEAR,2015,,,,,,,,,146,146,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
3351983,MALARIA_IRS_COVERAGE,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,549 243,549243,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
6826772,MALARIA_IRS_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2015,,,,,,,,,3 700 470,3700470,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
824711,MALARIA_IRS_COVERAGE,COUNTRY,BLZ,AMR,Americas,YEAR,2019,,,,,,,,,43 497,43497,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
