Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
8592023,MALARIA_ITN_COVERAGE,COUNTRY,MOZ,AFR,Africa,YEAR,2020,,,,,,,,,70.79,70.7907984,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
8610992,MALARIA_ITN_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2015,,,,,,,,,30.33,30.331341,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
4035453,MALARIA_ITN_COVERAGE,COUNTRY,NER,AFR,Africa,YEAR,2019,,,,,,,,,65.96,65.9587934,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
4168416,MALARIA_ITN_COVERAGE,COUNTRY,CMR,AFR,Africa,YEAR,2016,,,,,,,,,70.15,70.1471687,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
6441652,MALARIA_ITN_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2024,,,,,,,,,65.05,65.0466462,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
470701,MALARIA_ITN_COVERAGE,COUNTRY,MDG,AFR,Africa,YEAR,2022,,,,,,,,,71.44,71.4431529,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
5694882,MALARIA_ITN_COVERAGE,COUNTRY,BEN,AFR,Africa,YEAR,2023,,,,,,,,,64.34,64.33974,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
616711,MALARIA_ITN_COVERAGE,COUNTRY,CAF,AFR,Africa,YEAR,2019,,,,,,,,,58.05,58.0516875,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
9695453,MALARIA_ITN_COVERAGE,COUNTRY,ZWE,AFR,Africa,YEAR,2017,,,,,,,,,46.13,46.1274084,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
7111641,MALARIA_ITN_COVERAGE,COUNTRY,AGO,AFR,Africa,YEAR,2024,,,,,,,,,10.21,10.2103755,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
